"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","930167597.765363","1015642458.10056","1125139664.80447","1203910614.52514","1271508379.88827","1326256983.24022","1427374301.67598","1505586592.17877","1587709497.2067","1664804469.27374","1767039106.14525","1869273743.01676","2043575418.99441","2120670391.06145","2054189944.13408","2094413407.82123","2230167597.76536","2294972067.03911","2317821229.05028","2322533483.67158","2328514354.43757","2327949807.10832","2416911204.10962","2537790905.75659","","",
"Africa Eastern and Southern","AFE","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","111922364608.699","118488189508.179","111197626300.441","95070281657.1633","110290984644.661","142393453608.737","145811862678.518","148518609203.568","168131281811.701","174710406083.452","180227848039.357","177496735972.991","190038864554.283","212390352101.297","209695187453.159","224083400368.797","213687834387.989","208595673262.535","222433659543.355","201339441185.415","202006111773.835","268962271625.69","332005160341.661","382096597418.654","415607519187.557","469935634985.506","496847503951.634","530120798983.777","618670484299.461","693377411263.163","729812945671.637","752321190668.469","766236989032.189","735523141216.614","701774285267.089","775696135319.002","790732417633.431","788030971110.506","722390856381.641",
"Afghanistan","AFG","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","466666655.555556","477777737.777778","466666655.555556","702222244.444444","762222182.222222","995555555.555556","1422222222.22222","1711111100","1371111151.11111","1386666666.66667","1691108966.66667","1826664357.77778","1544444495.55556","1637777771.11111","1984444462.22222","2173333413.33333","2248888957.77778","2680000057.77778","2942222153.33333","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Western and Central","AFW","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","56542858882.0264","55681084936.002","56138984128.848","61144803017.9462","72755422447.5043","69731683882.9067","73904391039.4898","77609025818.5697","64598732127.7141","78081141662.3975","79030147733.8298","84973373376.9879","74782881914.6734","60556111721.0189","76070469210.0787","85879152887.8243","84488595544.2965","91734537253.8324","92109896739.3265","82520989395.7991","101825803988.329","125550334667.938","144830603350.87","176534126514.68","211701502338.175","247676496588.832","350540551710.256","402454168378.273","386465055771.395","446258673441.929","497889051497.968","502967315797.913","637518729231.08","661142306454.535","632745017301.261","584573090191.515","563767880805.354","599789338644.34","632254360273.329","611978229391.884",
"Angola","AGO","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3896731626.91101","6171664555.55606","9268944319.11638","11543958083.9688","13171613116.371","17739329570.8652","23251227788.1398","30360597136.3425","40382989442.0351","43668255685.8721","44279734274.3704","58374626097.0375","68191034640.9268","80897777871.1395","90986199538.3633","80379086228.0497","70692122430.8979","85631168586.5137","67740456485.2602","58850169039.58","43153183700.274",
"Albania","ALB","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","1350489534.15412","1365198182.30357","1510787487.5","1545825025","1571774975","1659124975","1660736837.5","1287582611.11111","1218994125.21241","1641562844.33558","2178257001.18258","2522368078.96653","3314542066.94999","2447593728.69802","2684989415.1892","3134800868.93555","3216793511.47158","3484219685.36823","3972820211.13088","5130526003.77391","6352354033.18964","7083947880.40088","7841919851.91135","9849227948.45396","12040548497.7579","11072099778.7911","10646768658.2314","11508050880.215","10941449860.5157","11633370934.9555","12201535836.1775","10453741097.4923","10939629860.8454","11861780016.7926","13659875246.7839","14021454905.1987","14038736223.6539",
"Andorra","AND","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","","","","","","","","","27061299043.0288","29858692359.6842","33717641787.4042","37655290253.6631","43624417925.0776","51554055562.8939","66230704880.0933","91037117214.1368","110871298927.626","140146084472.637","166963495559.445","205583084293.866","243307732492.656","279446041948.456","315567486048.332","325990555719.192","335151627802.486","342226775082.967","351203039639.699","366051175987.685","358518476826.846","390162701495.97","448402424571.697","339676088410.513","350888743474.067","359090245371.896","360386916648.015","388600179141.184","416599128770.33","446309197344.239","454900186503.096","462869184402.908","479452588517.453","483099979059.221","487916632156.862","516971656904.818","588880025002.883","662360393739.225","764908937271.732","908490341485.828","1083640484895.38","1114670219093.44","1188724651892.43","1332892553795.03","1474621929397.59","1593027150627.19","1731865196135.05","1721001270525.89","1708286378846.19","1669341347284.58","1750414085750.86","1821577467390.43","1876189691971.7",
"United Arab Emirates","ARE","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","71329996950.3063","78539648958.4752","84958535248.4684","102750490047.651","115984196514.636","139810327950.987","172367350932.607","207202731436.351","158522245827.093","151476538597.686","169551736746.086","156846944098.026","175245647270.252","190289734377.127","171335879972.771","173959205663.717","194803479128.659","211618507365.555","219797376364.874","",
"Argentina","ARG","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","","","19376160455.8394","14985585096.2044","19434576526.3572","21399411627.8305","22272856090.9355","18504546348.9467","20416857848.8503","23757715275.0245","23591580209.0682","25465199608.0031","26309749588.8786","40565554072.2585","55867666353.7087","37081352153.5353","33780449868.9763","37911999742.129","40255409215.8497","51220430880.779","58617235878.9538","61178949170.177","63800156037.9318","78812915074.4254","61061001542.5307","68035001718.7087","89524443087.2662","89049048325.9559","98492044685.2822","59781714319.5528","113470334123.038","158920813529.103","194086408742.176","195824084384.384","213955318800","211354437000","220510438000","238353211100","243786711100","237777915000","236219366100","223201711200","72446391952.7293","95225639004.8535","124228047654.606","149393165256.55","176044924181.393","217144640947.557","277344288863.729","262658658519.665","336350991663.692","423649649448.919","445242277160.302","457042608919.298","433334542562.24","499614480942.488","464849978689.813","543457307147.989","425623008168.713","358072029573.46","305601344897.589",
